lineage,cell_line,gene_effect_score
glioblastoma,GBM_0,-1.2911166132803917
glioblastoma,GBM_1,-0.6765470679470228
glioblastoma,GBM_2,-0.7949139658121238
glioblastoma,GBM_3,-0.5300010178460208
glioblastoma,GBM_4,-0.5037699064061029
glioblastoma,GBM_5,-0.4066301845451054
glioblastoma,GBM_6,-0.14241397621835566
glioblastoma,GBM_7,-0.4298395957537603
glioblastoma,GBM_8,-0.6043905624972199
glioblastoma,GBM_9,-0.3623162889576852
glioblastoma,GBM_10,-0.5040936734462598
glioblastoma,GBM_11,-0.5679103026831561
glioblastoma,GBM_12,-0.5758238598869266
glioblastoma,GBM_13,-0.9613472921416634
glioblastoma,GBM_14,-0.9096015276395454
glioblastoma,GBM_15,-0.717078826021047
glioblastoma,GBM_16,-0.5315758344184197
glioblastoma,GBM_17,-0.4429463357443306
glioblastoma,GBM_18,-0.3619980677571981
glioblastoma,GBM_19,-0.8919743716875319
glioblastoma,GBM_20,-0.4173198438226603
glioblastoma,GBM_21,-1.0416131450077915
glioblastoma,GBM_22,-0.32747674087492834
glioblastoma,GBM_23,-0.5924570419271135
glioblastoma,GBM_24,-0.43624973953391133
glioblastoma,GBM_25,-0.601607693559024
glioblastoma,GBM_26,-0.14334126681106613
glioblastoma,GBM_27,-0.6264327064637927
glioblastoma,GBM_28,-0.2704563467931998
glioblastoma,GBM_29,-0.8825969890436246
glioblastoma,GBM_30,-0.5881575055887944
glioblastoma,GBM_31,-0.4689306990839859
glioblastoma,GBM_32,-0.6466373507342269
glioblastoma,GBM_33,-0.6498016453642865
other,OTHER_0,-0.6296761189059912
other,OTHER_1,0.1595268795385754
other,OTHER_2,0.21892831752484784
other,OTHER_3,-0.2920279898999886
other,OTHER_4,-0.12281650086298049
other,OTHER_5,0.2930895140828985
other,OTHER_6,-0.26264248553640174
other,OTHER_7,-0.4230509391136109
other,OTHER_8,-0.4661981976726327
other,OTHER_9,-0.1561211535356224
other,OTHER_10,-0.49958087300486154
other,OTHER_11,-0.02132898269104011
other,OTHER_12,-0.330673842759495
other,OTHER_13,-0.008896878558889515
other,OTHER_14,-0.3347525688133687
other,OTHER_15,0.029368602818098527
other,OTHER_16,-0.2907555155694207
other,OTHER_17,0.05468877049564788
other,OTHER_18,-0.5386646526283944
other,OTHER_19,0.14183678805683952
other,OTHER_20,-0.2578868422613135
other,OTHER_21,-0.086781293669631
other,OTHER_22,0.3338993821045648
other,OTHER_23,-0.0757193874997709
other,OTHER_24,-0.4512189089824399
other,OTHER_25,0.22181886061111725
other,OTHER_26,-0.19402154384597503
other,OTHER_27,0.24054452613646846
other,OTHER_28,0.1647540743847213
other,OTHER_29,-0.20834930215543607
other,OTHER_30,0.026420572749967175
other,OTHER_31,0.3001497178722714
other,OTHER_32,-0.44481801294534995
other,OTHER_33,-0.4120750807342013
other,OTHER_34,0.26632949982873066
other,OTHER_35,-0.5785519962504871
other,OTHER_36,-0.15450928382362533
other,OTHER_37,-0.31223802948109636
other,OTHER_38,0.18457626784537254
other,OTHER_39,-0.05251742209676747
other,OTHER_40,-0.15868823313045355
other,OTHER_41,0.2130590931719237
