lineage,cell_line,gene_effect_score
glioblastoma,GBM_0,-0.18283881013630018
glioblastoma,GBM_1,-0.1089970952118428
glioblastoma,GBM_2,-0.6261040681081359
glioblastoma,GBM_3,-0.2468299963361406
glioblastoma,GBM_4,0.010883084199119292
glioblastoma,GBM_5,-0.3667997175548168
glioblastoma,GBM_6,-0.5189351358839762
glioblastoma,GBM_7,-0.48430157812102326
glioblastoma,GBM_8,-0.0441498941193811
glioblastoma,GBM_9,0.19288825991798367
glioblastoma,GBM_10,-0.26381002967142003
glioblastoma,GBM_11,-0.29955307363186234
glioblastoma,GBM_12,-0.264680778058982
glioblastoma,GBM_13,-0.05624419981959834
glioblastoma,GBM_14,-0.5048404066805782
glioblastoma,GBM_15,-0.10035666863261963
glioblastoma,GBM_16,0.1253091469635653
glioblastoma,GBM_17,-0.5366085522887318
glioblastoma,GBM_18,-0.22010186150134703
glioblastoma,GBM_19,-0.0504012057717282
glioblastoma,GBM_20,0.1443612436709613
glioblastoma,GBM_21,-0.18351607987236193
glioblastoma,GBM_22,-0.3832925882425874
glioblastoma,GBM_23,0.03863233727131185
glioblastoma,GBM_24,0.003974843087999835
glioblastoma,GBM_25,-0.28903922502951906
glioblastoma,GBM_26,-0.09968208759906974
glioblastoma,GBM_27,-0.2703385326095824
glioblastoma,GBM_28,0.08411780072887645
glioblastoma,GBM_29,-0.1207137605748679
glioblastoma,GBM_30,-0.3584969830010851
glioblastoma,GBM_31,-0.31841339846010464
glioblastoma,GBM_32,-0.014637272288403669
glioblastoma,GBM_33,0.2081216635610634
other,OTHER_0,0.03837938920187084
other,OTHER_1,0.14400905631091682
other,OTHER_2,-0.3739019700587141
other,OTHER_3,0.01611612043992719
other,OTHER_4,-0.3174553649842728
other,OTHER_5,0.24559289618163316
other,OTHER_6,-0.28679290846972383
other,OTHER_7,-0.18887987505374898
other,OTHER_8,-0.09768562284917218
other,OTHER_9,-0.3957062919771779
other,OTHER_10,-0.10736173105693086
other,OTHER_11,-0.2974173181059347
other,OTHER_12,0.18977447104054568
other,OTHER_13,0.43295579612894525
other,OTHER_14,-0.34552903291001713
other,OTHER_15,-0.3357566400332368
other,OTHER_16,-0.1839033295864852
other,OTHER_17,-0.15978494680081406
other,OTHER_18,0.192730840568562
other,OTHER_19,0.13908249781089732
other,OTHER_20,0.09983695244401634
other,OTHER_21,-0.16578093017212342
other,OTHER_22,-0.2417233773322357
other,OTHER_23,-0.08447186658565319
other,OTHER_24,0.04525123475924821
other,OTHER_25,-0.4652114713329806
other,OTHER_26,-0.24858361396220185
other,OTHER_27,-0.22129590055677278
other,OTHER_28,0.05748110005463093
other,OTHER_29,-0.28942403270156686
other,OTHER_30,-0.22579734353273279
other,OTHER_31,-0.5455403459875783
other,OTHER_32,-0.2501660892910791
other,OTHER_33,-0.2885694886026441
other,OTHER_34,0.11052671912546629
other,OTHER_35,-0.0035888460505677303
other,OTHER_36,0.30637624973915273
other,OTHER_37,-0.3086632120903348
other,OTHER_38,-0.09629826025171859
other,OTHER_39,0.01952962658026572
other,OTHER_40,-0.06857777186328591
other,OTHER_41,-0.17016730990350276
other,OTHER_42,-0.22406190495085138
other,OTHER_43,0.025668138189739648
other,OTHER_44,0.0411039460967982
other,OTHER_45,-0.3101630251632999
other,OTHER_46,-0.16128488465040458
other,OTHER_47,-0.20384061574650875
other,OTHER_48,0.2733545467925523
other,OTHER_49,-0.31185560981474103
other,OTHER_50,-0.2222663947954016
other,OTHER_51,-0.14234051003239054
other,OTHER_52,-0.42134563097232236
other,OTHER_53,-0.07538472840459588
other,OTHER_54,-0.39845532752402546
other,OTHER_55,0.053189341619715585
other,OTHER_56,0.3175625360500216
other,OTHER_57,0.1813902617838219
other,OTHER_58,-0.5620119055360782
other,OTHER_59,0.4429593972537072
other,OTHER_60,0.4210591497656115
other,OTHER_61,-0.19872916248794903
other,OTHER_62,0.02016789101315855
other,OTHER_63,0.06608975495989113
other,OTHER_64,-0.6980651082357728
other,OTHER_65,-0.5473013930626626
other,OTHER_66,-0.036100776034491494
other,OTHER_67,0.008116816890663528
other,OTHER_68,-0.16298944569027146
other,OTHER_69,-0.18813288960879215
other,OTHER_70,-0.3092928747249716
other,OTHER_71,-0.1577042850287237
other,OTHER_72,-0.22883781596960112
other,OTHER_73,-0.4843418209841934
other,OTHER_74,0.33951253013678795
other,OTHER_75,-0.27622666269037416
other,OTHER_76,-0.7461521074949362
other,OTHER_77,-0.6003906993224448
other,OTHER_78,-0.6407343485986643
other,OTHER_79,0.11713646851866948
other,OTHER_80,-0.08848718924935269
other,OTHER_81,-0.27637426817924815
other,OTHER_82,0.11417645120790813
other,OTHER_83,-0.07541395564778308
other,OTHER_84,-0.18704113372703474
other,OTHER_85,0.0008506543280049975
other,OTHER_86,0.36408008058151503
other,OTHER_87,-0.2280183595378944
other,OTHER_88,-0.18130188193344127
other,OTHER_89,0.44425726294499984
other,OTHER_90,0.1876776026307329
other,OTHER_91,0.4005425745388009
other,OTHER_92,-0.03704148496626897
other,OTHER_93,-0.37318762527477434
other,OTHER_94,0.3544504477816589
other,OTHER_95,0.06488931253885975
other,OTHER_96,-0.16999495020347744
other,OTHER_97,0.05398293598279395
other,OTHER_98,0.14732572515329917
other,OTHER_99,0.3513362406009856
other,OTHER_100,0.18518157921288025
other,OTHER_101,-0.1487315856670972
other,OTHER_102,0.02517962283410964
