lineage,cell_line,gene_effect_score
glioblastoma,GBM_0,-1.0035547999683685
glioblastoma,GBM_1,-0.9706182257127892
glioblastoma,GBM_2,-1.1184607179420667
glioblastoma,GBM_3,-1.015255026786377
glioblastoma,GBM_4,-1.1671149089636499
glioblastoma,GBM_5,-1.0426935186947204
glioblastoma,GBM_6,-1.0183763064378382
glioblastoma,GBM_7,-1.0757549458695685
glioblastoma,GBM_8,-1.0900970195915545
glioblastoma,GBM_9,-1.060030524640367
glioblastoma,GBM_10,-1.2294163385093224
glioblastoma,GBM_11,-1.076836285957255
glioblastoma,GBM_12,-1.1364749464291093
glioblastoma,GBM_13,-1.1519648263606315
glioblastoma,GBM_14,-1.367187004114719
glioblastoma,GBM_15,-1.176488847252475
glioblastoma,GBM_16,-0.9021052016774495
glioblastoma,GBM_17,-0.9343081776127208
glioblastoma,GBM_18,-0.8645603812410193
glioblastoma,GBM_19,-0.8217057742787636
glioblastoma,GBM_20,-1.033807653431104
glioblastoma,GBM_21,-0.8939084531480003
glioblastoma,GBM_22,-1.2466388027901536
glioblastoma,GBM_23,-1.1220773030544617
glioblastoma,GBM_24,-1.2341151873098894
glioblastoma,GBM_25,-1.2041285342534371
glioblastoma,GBM_26,-1.0226107461681517
glioblastoma,GBM_27,-1.0119807510587997
glioblastoma,GBM_28,-1.1073735812531786
glioblastoma,GBM_29,-1.1247325403143817
glioblastoma,GBM_30,-1.4315478231091299
glioblastoma,GBM_31,-1.3753955705527543
glioblastoma,GBM_32,-1.117364929045442
glioblastoma,GBM_33,-1.0016129698554348
other,OTHER_0,-1.237197029495838
other,OTHER_1,-1.4513139000919306
other,OTHER_2,-0.9031278930358516
other,OTHER_3,-1.3188356551860465
other,OTHER_4,-1.2142968262753795
other,OTHER_5,-1.0133055076719466
other,OTHER_6,-0.8828068408867142
other,OTHER_7,-1.3522138199726945
other,OTHER_8,-1.254234438271839
other,OTHER_9,-1.0944056186910014
other,OTHER_10,-1.1723648342630206
other,OTHER_11,-0.9015583577323373
other,OTHER_12,-0.8344867998208368
other,OTHER_13,-1.0843209212513034
other,OTHER_14,-0.9936986376833377
other,OTHER_15,-1.0424709378978867
other,OTHER_16,-1.0187237650865764
other,OTHER_17,-0.9504900164447374
other,OTHER_18,-0.777586443630071
other,OTHER_19,-0.7991557526817812
other,OTHER_20,-1.1837825318144972
other,OTHER_21,-1.193432094003684
other,OTHER_22,-1.0474404550197973
other,OTHER_23,-1.2249217900327503
other,OTHER_24,-0.9949999812748677
other,OTHER_25,-1.2478155282580818
other,OTHER_26,-1.3834854743519498
