lineage,cell_line,gene_effect_score
glioblastoma,GBM_0,-0.48446405180492147
glioblastoma,GBM_1,-0.2237515131125951
glioblastoma,GBM_2,0.10902290080732265
glioblastoma,GBM_3,0.2682506687556672
glioblastoma,GBM_4,-0.2877158922099425
glioblastoma,GBM_5,0.023662621736044442
glioblastoma,GBM_6,0.06971326016761145
glioblastoma,GBM_7,0.22433469337624973
glioblastoma,GBM_8,0.09300978561196045
glioblastoma,GBM_9,0.1932533961783363
glioblastoma,GBM_10,0.07869700786979701
glioblastoma,GBM_11,-0.27476855795939586
glioblastoma,GBM_12,0.08928401590650718
glioblastoma,GBM_13,-0.038361675915442595
glioblastoma,GBM_14,-0.3237892931997612
glioblastoma,GBM_15,-0.35019825619468326
glioblastoma,GBM_16,-0.3132013580766214
glioblastoma,GBM_17,-0.3420551032937524
glioblastoma,GBM_18,0.22722795903885284
glioblastoma,GBM_19,-0.08455658996602156
glioblastoma,GBM_20,-0.19100018492142867
glioblastoma,GBM_21,0.0720824232094292
glioblastoma,GBM_22,-0.2982655134288241
glioblastoma,GBM_23,-0.1253347878677269
glioblastoma,GBM_24,0.17253373855482745
glioblastoma,GBM_25,0.06295605911808876
glioblastoma,GBM_26,-0.24292512164773228
glioblastoma,GBM_27,0.24809596008243257
glioblastoma,GBM_28,-0.4049880933137328
glioblastoma,GBM_29,0.294428482849397
glioblastoma,GBM_30,-0.0006122602083469611
glioblastoma,GBM_31,-0.0398134090224026
glioblastoma,GBM_32,0.4811249271764911
glioblastoma,GBM_33,-0.18514958228142991
other,OTHER_0,-0.15509337555554903
other,OTHER_1,0.20509479276183434
other,OTHER_2,-0.35880422995524186
other,OTHER_3,-0.49541874199591585
other,OTHER_4,-0.1922638719436509
other,OTHER_5,0.23386749314742983
other,OTHER_6,-0.05757688004446104
other,OTHER_7,-0.20260697851402276
other,OTHER_8,0.36722216030897614
other,OTHER_9,0.03891522989730978
other,OTHER_10,0.29750232153626666
other,OTHER_11,-0.6998282562760881
other,OTHER_12,-0.1617618557297314
other,OTHER_13,0.13830239457205806
other,OTHER_14,-0.15511356829961873
other,OTHER_15,-0.12796309791172825
other,OTHER_16,-0.0877897798272026
other,OTHER_17,0.21084436728699862
other,OTHER_18,-0.22332036838738434
other,OTHER_19,-0.3010029940060592
other,OTHER_20,-0.34701493038262327
other,OTHER_21,-0.03236103862504361
other,OTHER_22,0.03763433876593607
other,OTHER_23,-0.20038690749469318
other,OTHER_24,-0.31290535048579954
other,OTHER_25,-0.4580307398063861
other,OTHER_26,-0.4543259472985379
other,OTHER_27,-0.3539323638854957
other,OTHER_28,-0.21990023726902674
other,OTHER_29,-0.4771383763991321
other,OTHER_30,0.3567799011635633
other,OTHER_31,-0.47717097888934223
