lineage,cell_line,gene_effect_score
glioblastoma,GBM_0,-1.3606186532675284
glioblastoma,GBM_1,-1.2424115403608136
glioblastoma,GBM_2,-0.9700959459283803
glioblastoma,GBM_3,-1.3167529890084029
glioblastoma,GBM_4,-0.6303100156822001
glioblastoma,GBM_5,-1.0276226115701914
glioblastoma,GBM_6,-1.3175630259107234
glioblastoma,GBM_7,-1.4420525030208164
glioblastoma,GBM_8,-1.4727554686064055
glioblastoma,GBM_9,-1.2572708020466314
glioblastoma,GBM_10,-0.9778372952925377
glioblastoma,GBM_11,-0.8511440370827323
glioblastoma,GBM_12,-1.2159108275140915
glioblastoma,GBM_13,-1.0712991625727197
glioblastoma,GBM_14,-1.1198413739067925
glioblastoma,GBM_15,-0.8748461224076121
glioblastoma,GBM_16,-0.6773706478025947
glioblastoma,GBM_17,-1.0926561527933836
glioblastoma,GBM_18,-0.5618359110948145
glioblastoma,GBM_19,-1.5773162062105381
glioblastoma,GBM_20,-0.800705239261625
glioblastoma,GBM_21,-1.4290539447513606
glioblastoma,GBM_22,-0.8291698277188393
glioblastoma,GBM_23,-0.5922229614551131
glioblastoma,GBM_24,-1.2270550445659691
glioblastoma,GBM_25,-1.1184920336092954
glioblastoma,GBM_26,-1.1092068897985194
glioblastoma,GBM_27,-1.1594978856675877
glioblastoma,GBM_28,-1.4923280617703683
glioblastoma,GBM_29,-1.660890480983654
glioblastoma,GBM_30,-1.5630964497479936
glioblastoma,GBM_31,-1.5928614678113207
glioblastoma,GBM_32,-0.9947305382274322
glioblastoma,GBM_33,-1.1096529483422115
other,OTHER_0,-1.459921062196036
other,OTHER_1,-0.7321079202243888
other,OTHER_2,-1.823027296365974
other,OTHER_3,-1.223843390445435
other,OTHER_4,-0.7753400291431394
other,OTHER_5,-1.2239234157978272
other,OTHER_6,-1.1864765510091957
other,OTHER_7,-0.7865387796043346
other,OTHER_8,-1.2228429493597
other,OTHER_9,-1.209565032853424
other,OTHER_10,-1.8089901951943799
other,OTHER_11,-1.2589901658080855
other,OTHER_12,-1.2309711924481137
other,OTHER_13,-0.9626240746765907
other,OTHER_14,-1.2750564959839934
other,OTHER_15,-0.37646301768045476
other,OTHER_16,-0.9755005269906967
other,OTHER_17,-0.901139091235065
other,OTHER_18,-1.1136600161196506
other,OTHER_19,-1.3264186889669825
other,OTHER_20,-1.240567258220404
other,OTHER_21,-1.5030206655593887
other,OTHER_22,-0.5855424159677713
other,OTHER_23,-1.1295890191849636
other,OTHER_24,-1.2998088416799365
other,OTHER_25,-1.1716208154902206
other,OTHER_26,-1.7592445632961415
other,OTHER_27,-1.3817030702924071
other,OTHER_28,-0.6884032974992633
other,OTHER_29,-1.2527312690345906
other,OTHER_30,-1.1103863678116377
other,OTHER_31,-1.0341293840108032
other,OTHER_32,-1.4908845980228869
other,OTHER_33,-1.4179857283107624
other,OTHER_34,-0.7945523004772038
other,OTHER_35,-1.0035149900859555
other,OTHER_36,-0.9475340362209419
other,OTHER_37,-1.0228921931396242
other,OTHER_38,-1.1309422986778577
other,OTHER_39,-1.2063564287786956
other,OTHER_40,-1.0264503392667417
other,OTHER_41,-1.7381477267842
other,OTHER_42,-1.0503281517800078
other,OTHER_43,-1.4748148172919382
other,OTHER_44,-1.5403654444412496
other,OTHER_45,-1.0539638970748753
other,OTHER_46,-1.889877193377138
other,OTHER_47,-1.3371181242707912
other,OTHER_48,-1.0411248409293472
other,OTHER_49,-0.8995607370278347
other,OTHER_50,-1.3926961387280643
other,OTHER_51,-0.9167785055768198
other,OTHER_52,-1.0053924348689742
other,OTHER_53,-0.9900317990528906
other,OTHER_54,-0.9852659692063792
other,OTHER_55,-0.589852592196379
other,OTHER_56,-1.0117865977942249
other,OTHER_57,-1.1597249909093108
other,OTHER_58,-1.0683487651528911
other,OTHER_59,-0.7156412403247785
other,OTHER_60,-1.4685559268277164
other,OTHER_61,-0.7211811999459503
other,OTHER_62,-1.003100334636394
other,OTHER_63,-0.2341483085160675
other,OTHER_64,-1.0460656072778127
other,OTHER_65,-1.2248093508567908
other,OTHER_66,-1.6183790558532611
other,OTHER_67,-0.8901538038055138
other,OTHER_68,-0.7479668346361998
other,OTHER_69,-0.8162236653540722
other,OTHER_70,-1.0538502723137135
other,OTHER_71,-1.4976818600509576
other,OTHER_72,-1.1744438196294045
other,OTHER_73,-1.1658903547203727
other,OTHER_74,-1.1040529893998916
other,OTHER_75,-0.7279974525295089
other,OTHER_76,-1.5727507693362774
other,OTHER_77,-1.2708474054736891
other,OTHER_78,-0.5574654624431995
other,OTHER_79,-1.6753650711565875
other,OTHER_80,-0.7959924126576884
other,OTHER_81,-1.3088311887017887
other,OTHER_82,-1.5559961368262825
other,OTHER_83,-1.1097413816421031
other,OTHER_84,-0.6142830234646763
other,OTHER_85,-0.9653288668861753
other,OTHER_86,-1.0513076385500413
other,OTHER_87,-1.221493968819074
other,OTHER_88,-1.3746415271508647
other,OTHER_89,-1.037576210768469
other,OTHER_90,-0.949549060546418
other,OTHER_91,-1.0490746903235837
other,OTHER_92,-1.596739428294669
other,OTHER_93,-0.6681218750764921
other,OTHER_94,-1.4524045456922674
other,OTHER_95,-1.4811005258453847
other,OTHER_96,-1.0445080514410667
other,OTHER_97,-0.9155431738017575
other,OTHER_98,-1.3904894695307266
other,OTHER_99,-1.106012648620659
other,OTHER_100,-1.215804665116247
other,OTHER_101,-1.2057276901184797
other,OTHER_102,-1.0206185381571968
other,OTHER_103,-1.195083408669541
other,OTHER_104,-0.8175249293401032
other,OTHER_105,-0.6014754533229046
other,OTHER_106,-1.3785903907165653
other,OTHER_107,-0.9435464239025839
other,OTHER_108,-1.027689972132935
other,OTHER_109,-1.1589192140202134
other,OTHER_110,-1.116449387929928
other,OTHER_111,-0.8304384520129924
other,OTHER_112,-2.0645134087412043
other,OTHER_113,-1.1077902937480477
other,OTHER_114,-0.8456321702430338
other,OTHER_115,-0.5015664078049924
other,OTHER_116,-0.7875213262009579
other,OTHER_117,-0.8146244346176486
other,OTHER_118,-1.304644047832789
other,OTHER_119,-0.595022439857501
other,OTHER_120,-0.801730461380888
other,OTHER_121,-1.1820269975459339
other,OTHER_122,-0.9087909375492427
other,OTHER_123,-1.0422549163721329
other,OTHER_124,-1.0338687719056066
other,OTHER_125,-0.9481968130908223
other,OTHER_126,-0.9916479601011117
other,OTHER_127,-0.8603512639578343
other,OTHER_128,-1.3350582009401784
other,OTHER_129,-0.8020564584965342
other,OTHER_130,-1.328488656961983
other,OTHER_131,-0.6949749307377715
other,OTHER_132,-1.1482659816074492
other,OTHER_133,-0.9621785178874629
other,OTHER_134,-1.2655929732872484
other,OTHER_135,-1.084284309879205
other,OTHER_136,-1.2602290828154767
other,OTHER_137,-1.2129945028219065
other,OTHER_138,-1.1944153042982382
other,OTHER_139,-1.2182176238528268
other,OTHER_140,-1.2668712463196556
other,OTHER_141,-1.262011589844021
other,OTHER_142,-1.045809296950238
other,OTHER_143,-1.1846152970422306
other,OTHER_144,-0.8333743669001734
other,OTHER_145,-1.2052033957121449
other,OTHER_146,-1.0095148863114998
other,OTHER_147,-0.5174864246270843
other,OTHER_148,-0.9520567550997044
other,OTHER_149,-1.6807847570402115
other,OTHER_150,-1.2802770022767318
other,OTHER_151,-1.7674111709866485
other,OTHER_152,-1.470828533333695
other,OTHER_153,-1.3100063147050724
other,OTHER_154,-0.8275102196308582
other,OTHER_155,-1.177703591402989
other,OTHER_156,-1.0200062849295415
other,OTHER_157,-1.3808993287881512
other,OTHER_158,-0.838680067827085
other,OTHER_159,-1.0547028945910424
other,OTHER_160,-1.1675686496967081
other,OTHER_161,-0.7017065625018792
other,OTHER_162,-0.935126396874733
other,OTHER_163,-0.8596722910437813
other,OTHER_164,-1.155088182627717
other,OTHER_165,-0.5151435463105746
other,OTHER_166,-1.4940448595672537
other,OTHER_167,-1.9200963823839137
other,OTHER_168,-0.8860249048955594
other,OTHER_169,-0.6805421913638248
other,OTHER_170,-1.129298552893753
other,OTHER_171,-0.8360763141316507
other,OTHER_172,-1.8179075951494197
other,OTHER_173,-0.6974958720595275
other,OTHER_174,-1.0991090572407956
other,OTHER_175,-1.116383418228314
other,OTHER_176,-1.3029493241455639
other,OTHER_177,-0.8530745363187581
other,OTHER_178,-1.411179116884567
other,OTHER_179,-1.0354232226260032
other,OTHER_180,-1.3862910366577246
other,OTHER_181,-1.4296622080323311
other,OTHER_182,-0.7995564396967992
other,OTHER_183,-1.2871969712861324
other,OTHER_184,-0.478977034506889
other,OTHER_185,-1.0630537776269902
other,OTHER_186,-0.9567877723704703
other,OTHER_187,-0.5781564390619948
other,OTHER_188,-0.9797944163603788
other,OTHER_189,-1.2935231169269181
other,OTHER_190,-1.0046657161248411
other,OTHER_191,-1.0109136781918677
other,OTHER_192,-1.4248686414964902
other,OTHER_193,-1.8001158137117734
other,OTHER_194,-1.1499576138786256
other,OTHER_195,-1.4216664005761057
other,OTHER_196,-0.984453958036231
other,OTHER_197,-1.5410285341210286
other,OTHER_198,-1.1251761323898641
other,OTHER_199,-1.056482833597658
other,OTHER_200,-1.1958354036788426
other,OTHER_201,-1.6723784068663563
other,OTHER_202,-0.9088961209030237
other,OTHER_203,-0.8733938476391757
other,OTHER_204,-0.79018358872608
other,OTHER_205,-1.1344996106779763
other,OTHER_206,-1.2862549660125913
other,OTHER_207,-1.2240985079434048
other,OTHER_208,-0.8108093437765067
other,OTHER_209,-0.7622753111727936
other,OTHER_210,-1.1210312844099761
other,OTHER_211,-1.2829915430366885
other,OTHER_212,-1.3908472580747562
other,OTHER_213,-0.7337936087598698
other,OTHER_214,-0.8656588187411818
other,OTHER_215,-1.0182930775636947
other,OTHER_216,-1.226026133948741
other,OTHER_217,-1.7624952144574149
other,OTHER_218,-1.5422696280155948
other,OTHER_219,-1.2362776293347857
other,OTHER_220,-1.424504451751311
other,OTHER_221,-1.1025537417572313
other,OTHER_222,-1.0855202354921163
other,OTHER_223,-1.3508834290234049
other,OTHER_224,-1.1368766703502846
other,OTHER_225,-1.1948832190369547
other,OTHER_226,-1.5350156385178462
other,OTHER_227,-1.3445691688703616
other,OTHER_228,-1.014297544356665
other,OTHER_229,-1.0922638568575398
other,OTHER_230,-1.332684434850062
other,OTHER_231,-1.0124773841802333
other,OTHER_232,-1.1329440971460663
other,OTHER_233,-0.712002353274551
other,OTHER_234,-1.0470338253709852
other,OTHER_235,-1.3992686285181857
other,OTHER_236,-1.2455329285446313
other,OTHER_237,-0.7218568070355651
other,OTHER_238,-1.0288006149741518
other,OTHER_239,-0.8728963346171462
other,OTHER_240,-0.9763741467768811
other,OTHER_241,-1.16869163401284
other,OTHER_242,-1.3271086045027247
other,OTHER_243,-1.1316264206448794
other,OTHER_244,-1.3588449945464198
other,OTHER_245,-1.4353404638278828
other,OTHER_246,-1.1365884568396802
other,OTHER_247,-1.2688039290628297
other,OTHER_248,-1.3136855980092088
other,OTHER_249,-0.8994982253814661
other,OTHER_250,-0.9717078748288543
other,OTHER_251,-0.40773687102154865
other,OTHER_252,-0.8115694704404084
other,OTHER_253,-1.2996448587660479
other,OTHER_254,-0.9322891854589074
other,OTHER_255,-1.0170532394043816
other,OTHER_256,-0.09285782495229
other,OTHER_257,-0.6909281486256078
other,OTHER_258,-1.315164738015951
other,OTHER_259,-0.7929574804586716
other,OTHER_260,-1.051565381688629
other,OTHER_261,-1.516776755211394
other,OTHER_262,-1.149709987005592
other,OTHER_263,-0.9087775412128479
other,OTHER_264,-0.8192218107311717
other,OTHER_265,-0.9185740907374511
other,OTHER_266,-1.1493192988200591
other,OTHER_267,-1.0751441397553372
other,OTHER_268,-1.1070653004619209
other,OTHER_269,-0.9158208820251975
other,OTHER_270,-0.6741827731520911
other,OTHER_271,-1.134116652996203
other,OTHER_272,-0.40792342701051
other,OTHER_273,-0.9834610671407813
other,OTHER_274,-1.0846902917269672
other,OTHER_275,-1.105429119763854
other,OTHER_276,-1.1491011078284248
other,OTHER_277,-1.24121519955121
other,OTHER_278,-1.3630075633911753
other,OTHER_279,-0.4768115266024625
other,OTHER_280,-1.2847084414984433
other,OTHER_281,-0.5512600286680652
other,OTHER_282,-0.9272793185291479
other,OTHER_283,-0.9834145378422887
other,OTHER_284,-1.549381865070042
other,OTHER_285,-1.0566603791718918
other,OTHER_286,-0.7273437736443074
other,OTHER_287,-1.1988396648690145
other,OTHER_288,-1.2700209258119126
other,OTHER_289,-0.8845343286570432
other,OTHER_290,-0.6237614393814924
other,OTHER_291,-1.4177054983278925
other,OTHER_292,-0.9395327777396049
other,OTHER_293,-0.8572896559606581
other,OTHER_294,-0.819646509211144
other,OTHER_295,-1.1351783896967929
other,OTHER_296,-1.3535695032575177
other,OTHER_297,-1.0270836667275995
other,OTHER_298,-1.2050665796626343
other,OTHER_299,-1.311570183808053
other,OTHER_300,-0.6755975890622014
other,OTHER_301,-1.3316398355049768
other,OTHER_302,-0.8535397020524588
other,OTHER_303,-0.937722931047021
other,OTHER_304,-0.6423138835706406
other,OTHER_305,-1.3489757447886204
other,OTHER_306,-1.3304997344745075
other,OTHER_307,-0.746700168170781
other,OTHER_308,-0.8907436879002525
other,OTHER_309,-1.8346111269466747
other,OTHER_310,-0.7586842809351377
other,OTHER_311,-1.3535178114149375
other,OTHER_312,-1.281666490068183
other,OTHER_313,-0.7770647665520983
other,OTHER_314,-0.8291467598356814
other,OTHER_315,-1.3196879838962372
other,OTHER_316,-0.5213928832032996
other,OTHER_317,-1.1869581549710053
other,OTHER_318,-1.01804955276263
other,OTHER_319,-0.8361697640628101
other,OTHER_320,-1.3102170070697512
other,OTHER_321,-0.560758484507631
other,OTHER_322,-0.7152410953781112
other,OTHER_323,-1.1360169750179963
other,OTHER_324,-0.8046345662812788
other,OTHER_325,-1.465204795770973
other,OTHER_326,-1.4819306448842486
other,OTHER_327,-1.2792800822469823
other,OTHER_328,-1.4184788399200643
other,OTHER_329,-0.9545131138188174
other,OTHER_330,-0.9584089332300576
other,OTHER_331,-1.0353492604937036
other,OTHER_332,-1.1796228403129694
other,OTHER_333,-1.146312795262396
other,OTHER_334,-0.7786897475593519
other,OTHER_335,-1.404342291861731
other,OTHER_336,-1.1923216218139752
other,OTHER_337,-1.4939549111702972
other,OTHER_338,-1.0017324740019706
other,OTHER_339,-1.0009568836869802
other,OTHER_340,-0.7797422491349559
other,OTHER_341,-1.003443638858458
other,OTHER_342,-0.6877447529960312
other,OTHER_343,-0.8186500062937347
other,OTHER_344,-1.5787160122615023
other,OTHER_345,-1.2733885345773759
other,OTHER_346,-0.8925013355577018
other,OTHER_347,-1.4800717048003964
other,OTHER_348,-1.135810218381198
other,OTHER_349,-1.208731945069788
other,OTHER_350,-1.2722332640197223
other,OTHER_351,-0.9503143953509352
other,OTHER_352,-1.5086946460472697
other,OTHER_353,-1.0352436153765552
other,OTHER_354,-0.9342288253856852
other,OTHER_355,-0.9618733754708041
other,OTHER_356,-0.7351828466597212
other,OTHER_357,-1.0536467621726908
other,OTHER_358,-1.5641961067237802
other,OTHER_359,-0.8463137766572478
other,OTHER_360,-1.1117550929768822
other,OTHER_361,-0.9625540102318865
other,OTHER_362,-0.8901030054161317
other,OTHER_363,-1.228531642804219
other,OTHER_364,-1.6656774062562265
other,OTHER_365,-0.6059607594489613
other,OTHER_366,-0.9636814306542127
other,OTHER_367,-1.0513899965175046
other,OTHER_368,-1.0773251127245345
other,OTHER_369,-0.6305469153754061
other,OTHER_370,-1.622420138070031
other,OTHER_371,-1.4150362890159347
other,OTHER_372,-1.389896867903634
other,OTHER_373,-1.3539872513979239
other,OTHER_374,-1.734646142655911
other,OTHER_375,-1.0470627011694633
other,OTHER_376,-1.2154080060688612
other,OTHER_377,-1.3854840182278236
other,OTHER_378,-1.100281994255988
other,OTHER_379,-1.50353099789848
other,OTHER_380,-0.8886210268659862
other,OTHER_381,-1.0274683440799997
other,OTHER_382,-0.7682351976541509
other,OTHER_383,-1.2699882287463302
other,OTHER_384,-0.7817100917562475
other,OTHER_385,-0.9348958384591388
other,OTHER_386,-1.1746038002746055
other,OTHER_387,-0.5459839767531212
other,OTHER_388,-0.8663468809293422
other,OTHER_389,-1.1664817818063655
other,OTHER_390,-1.1666312458787793
other,OTHER_391,-1.010686925893786
other,OTHER_392,-1.2208718062907278
other,OTHER_393,-1.2305249047381193
other,OTHER_394,-1.8951545461459047
other,OTHER_395,-1.526917629259735
other,OTHER_396,-1.4222064186404615
other,OTHER_397,-0.6029346796829427
other,OTHER_398,-1.2675352696083881
other,OTHER_399,-1.0870345273327102
other,OTHER_400,-1.1702290985904777
other,OTHER_401,-0.820649393731177
other,OTHER_402,-0.9134591161209717
other,OTHER_403,-1.6164273994412046
other,OTHER_404,-1.4085794088395898
other,OTHER_405,-1.17770403992855
other,OTHER_406,-1.033833750221053
other,OTHER_407,-0.6197533326944658
other,OTHER_408,-1.502186710008897
other,OTHER_409,-1.5432024227909678
other,OTHER_410,-0.8867445964113851
other,OTHER_411,-0.9065485031941305
other,OTHER_412,-1.30344848802506
other,OTHER_413,-0.775714592211133
other,OTHER_414,-0.8842739036360268
other,OTHER_415,-0.7028071649385415
other,OTHER_416,-1.1881450641021516
other,OTHER_417,-1.2249856113694084
other,OTHER_418,-1.446480957560801
other,OTHER_419,-0.6288715251241102
other,OTHER_420,-1.5609460900702812
other,OTHER_421,-0.7755431188782314
other,OTHER_422,-0.9300860923413804
other,OTHER_423,-1.03046311425088
other,OTHER_424,-1.1390729569964166
other,OTHER_425,-0.8640459249914402
other,OTHER_426,-1.427372539333947
other,OTHER_427,-1.4508848297636985
other,OTHER_428,-1.220185085564352
other,OTHER_429,-1.132368323335447
other,OTHER_430,-1.184870819093208
other,OTHER_431,-0.9424421196540421
other,OTHER_432,-0.9816719080443427
other,OTHER_433,-1.0106199507540519
other,OTHER_434,-1.6034911676630026
other,OTHER_435,-0.6430405876279226
other,OTHER_436,-1.0723770140935083
other,OTHER_437,-1.0502431868173938
other,OTHER_438,-1.4737568083776986
other,OTHER_439,-1.1705925301590798
other,OTHER_440,-1.1872257458302289
other,OTHER_441,-0.8141808544186708
other,OTHER_442,-1.1302265635645385
other,OTHER_443,-1.6359297941590318
other,OTHER_444,-0.8950486367886911
other,OTHER_445,-0.8523470028331472
other,OTHER_446,-1.1571108427550285
other,OTHER_447,-0.9719427661543476
other,OTHER_448,-0.9481083309816499
other,OTHER_449,-1.082307462789344
other,OTHER_450,-1.595332986132707
other,OTHER_451,-0.8658556344611893
other,OTHER_452,-0.8457822011460578
other,OTHER_453,-1.438772477380446
other,OTHER_454,-0.7818896125949086
other,OTHER_455,-1.340912461730506
other,OTHER_456,-1.0332341140019023
other,OTHER_457,-0.957495589235682
other,OTHER_458,-1.2333944217708115
other,OTHER_459,-1.1266843375715538
other,OTHER_460,-1.0985270550690551
other,OTHER_461,-1.3588893088042844
other,OTHER_462,-1.2768564303196
other,OTHER_463,-1.1690685234985485
other,OTHER_464,-0.8615362182578722
other,OTHER_465,-1.560608101913411
other,OTHER_466,-1.5336064322107832
other,OTHER_467,-0.991238519140867
other,OTHER_468,-1.1793582661755222
other,OTHER_469,-1.0050010609475581
other,OTHER_470,-0.6006823880578018
other,OTHER_471,-1.2013650569084549
other,OTHER_472,-0.7847721360305796
other,OTHER_473,-1.22171835697366
other,OTHER_474,-0.5484578212132836
other,OTHER_475,-0.8018365100743354
other,OTHER_476,-0.962542963230974
other,OTHER_477,-1.005192598650805
other,OTHER_478,-1.0894040811322
other,OTHER_479,-1.279261952614408
other,OTHER_480,-1.1721025355517214
other,OTHER_481,-0.6185732930238963
other,OTHER_482,-1.6049438910313523
other,OTHER_483,-1.2713484955269958
other,OTHER_484,-0.6581932424933279
other,OTHER_485,-0.9887694001092274
other,OTHER_486,-1.0972263492472032
other,OTHER_487,-1.2937131236259074
other,OTHER_488,-1.2959009206216157
other,OTHER_489,-1.1483660574075412
other,OTHER_490,-0.6005654531231508
other,OTHER_491,-1.4165222592772446
other,OTHER_492,-0.6641351244568272
other,OTHER_493,-0.9844254834872568
other,OTHER_494,-1.590534795605996
other,OTHER_495,-1.0356534819877106
other,OTHER_496,-1.2514497573287535
other,OTHER_497,-0.730879578091213
other,OTHER_498,-1.635280426873459
other,OTHER_499,-1.1465945366842778
other,OTHER_500,-1.2292150545050031
other,OTHER_501,-1.1100426114914683
other,OTHER_502,-1.2951926939228646
other,OTHER_503,-1.0073790331148815
other,OTHER_504,-1.2486624580491046
other,OTHER_505,-1.902464025985158
other,OTHER_506,-1.2892322550901165
other,OTHER_507,-0.9026985398148145
other,OTHER_508,-1.3432591009309633
other,OTHER_509,-1.2724813173702234
other,OTHER_510,-0.8668463006911006
other,OTHER_511,-1.4512878145664596
other,OTHER_512,-1.4637600805094166
other,OTHER_513,-0.9613177115700904
