anatomic_zone,log2_expression
leading_edge,5.852
leading_edge,4.768
leading_edge,6.079
leading_edge,5.314
leading_edge,4.902
leading_edge,5.346
leading_edge,5.39
leading_edge,4.756
leading_edge,6.147
leading_edge,4.274
leading_edge,5.916
leading_edge,5.109
leading_edge,4.997
leading_edge,5.48
leading_edge,4.221
infiltrating_tumor,6.88
infiltrating_tumor,5.625
infiltrating_tumor,4.211
infiltrating_tumor,5.081
infiltrating_tumor,5.309
infiltrating_tumor,5.218
infiltrating_tumor,5.864
infiltrating_tumor,4.793
infiltrating_tumor,6.738
infiltrating_tumor,4.822
infiltrating_tumor,5.941
infiltrating_tumor,3.51
infiltrating_tumor,6.136
infiltrating_tumor,6.448
infiltrating_tumor,5.588
infiltrating_tumor,7.383
infiltrating_tumor,5.131
infiltrating_tumor,5.787
cellular_tumor,6.517
cellular_tumor,4.834
cellular_tumor,5.388
cellular_tumor,6.284
cellular_tumor,6.327
cellular_tumor,7.463
cellular_tumor,5.785
cellular_tumor,6.602
cellular_tumor,7.397
cellular_tumor,5.817
cellular_tumor,5.241
cellular_tumor,4.402
cellular_tumor,5.427
cellular_tumor,6.932
cellular_tumor,5.808
cellular_tumor,5.98
cellular_tumor,6.502
cellular_tumor,5.297
cellular_tumor,6.893
cellular_tumor,6.703
cellular_tumor,6.852
cellular_tumor,5.544
perinecrotic_zone,6.597
perinecrotic_zone,6.372
perinecrotic_zone,6.625
perinecrotic_zone,5.876
perinecrotic_zone,6.655
perinecrotic_zone,5.561
perinecrotic_zone,5.63
perinecrotic_zone,6.022
perinecrotic_zone,4.879
perinecrotic_zone,4.897
perinecrotic_zone,5.837
perinecrotic_zone,5.134
perinecrotic_zone,4.974
perinecrotic_zone,7.585
perinecrotic_zone,6.781
perinecrotic_zone,5.486
perinecrotic_zone,4.631
pseudopalisading_cells_around_necrosis,6.018
pseudopalisading_cells_around_necrosis,4.749
pseudopalisading_cells_around_necrosis,6.977
pseudopalisading_cells_around_necrosis,5.76
pseudopalisading_cells_around_necrosis,5.96
pseudopalisading_cells_around_necrosis,5.31
pseudopalisading_cells_around_necrosis,5.863
pseudopalisading_cells_around_necrosis,7.98
pseudopalisading_cells_around_necrosis,5.302
pseudopalisading_cells_around_necrosis,5.67
pseudopalisading_cells_around_necrosis,6.344
pseudopalisading_cells_around_necrosis,6.491
pseudopalisading_cells_around_necrosis,6.778
pseudopalisading_cells_around_necrosis,5.849
pseudopalisading_cells_around_necrosis,5.051
pseudopalisading_cells_around_necrosis,6.755
pseudopalisading_cells_around_necrosis,5.918
pseudopalisading_cells_around_necrosis,5.498
pseudopalisading_cells_around_necrosis,6.891
pseudopalisading_cells_around_necrosis,6.107
pseudopalisading_cells_around_necrosis,6.126
microvascular_proliferation,5.216
microvascular_proliferation,6.115
microvascular_proliferation,6.223
microvascular_proliferation,6.747
microvascular_proliferation,7.459
microvascular_proliferation,6.68
microvascular_proliferation,6.852
microvascular_proliferation,5.548
microvascular_proliferation,6.629
microvascular_proliferation,7.097
microvascular_proliferation,5.942
microvascular_proliferation,7.065
microvascular_proliferation,7.0
microvascular_proliferation,6.551
microvascular_proliferation,5.141
microvascular_proliferation,7.261
microvascular_proliferation,6.97
microvascular_proliferation,6.607
microvascular_proliferation,5.56
hyperplastic_blood_vessels,5.833
hyperplastic_blood_vessels,5.93
hyperplastic_blood_vessels,5.804
hyperplastic_blood_vessels,6.313
hyperplastic_blood_vessels,6.588
hyperplastic_blood_vessels,4.826
hyperplastic_blood_vessels,5.795
hyperplastic_blood_vessels,6.419
hyperplastic_blood_vessels,4.103
hyperplastic_blood_vessels,6.198
hyperplastic_blood_vessels,5.118
hyperplastic_blood_vessels,5.251
hyperplastic_blood_vessels,6.016
hyperplastic_blood_vessels,6.453
hyperplastic_blood_vessels,5.418
hyperplastic_blood_vessels,5.599
hyperplastic_blood_vessels,4.823
hyperplastic_blood_vessels,6.004
hyperplastic_blood_vessels,5.584
hyperplastic_blood_vessels,4.175
