anatomic_zone,log2_expression
leading_edge,5.31
leading_edge,5.241
leading_edge,5.569
leading_edge,5.663
leading_edge,5.372
leading_edge,4.961
leading_edge,5.748
leading_edge,4.69
leading_edge,5.609
leading_edge,5.991
leading_edge,5.384
leading_edge,5.643
leading_edge,5.214
leading_edge,5.145
leading_edge,4.728
leading_edge,7.022
leading_edge,4.667
leading_edge,5.446
leading_edge,4.594
leading_edge,4.871
infiltrating_tumor,6.254
infiltrating_tumor,4.806
infiltrating_tumor,6.733
infiltrating_tumor,5.411
infiltrating_tumor,5.236
infiltrating_tumor,4.995
infiltrating_tumor,5.555
infiltrating_tumor,6.48
infiltrating_tumor,6.566
infiltrating_tumor,4.583
infiltrating_tumor,4.433
infiltrating_tumor,4.934
infiltrating_tumor,4.441
infiltrating_tumor,5.194
infiltrating_tumor,6.072
infiltrating_tumor,6.199
infiltrating_tumor,5.767
infiltrating_tumor,5.921
infiltrating_tumor,6.015
infiltrating_tumor,5.329
infiltrating_tumor,4.827
infiltrating_tumor,4.578
infiltrating_tumor,4.644
cellular_tumor,8.003
cellular_tumor,5.862
cellular_tumor,5.175
cellular_tumor,5.957
cellular_tumor,6.027
cellular_tumor,5.745
cellular_tumor,5.555
cellular_tumor,5.204
cellular_tumor,5.095
cellular_tumor,5.156
cellular_tumor,5.544
cellular_tumor,5.744
cellular_tumor,6.299
cellular_tumor,6.656
cellular_tumor,4.76
cellular_tumor,6.128
cellular_tumor,6.016
cellular_tumor,4.997
cellular_tumor,4.758
cellular_tumor,5.766
perinecrotic_zone,6.999
perinecrotic_zone,6.057
perinecrotic_zone,6.472
perinecrotic_zone,7.949
perinecrotic_zone,7.953
perinecrotic_zone,7.41
perinecrotic_zone,7.685
perinecrotic_zone,5.539
perinecrotic_zone,6.045
perinecrotic_zone,7.112
perinecrotic_zone,6.183
perinecrotic_zone,6.486
perinecrotic_zone,8.125
perinecrotic_zone,8.363
perinecrotic_zone,7.679
perinecrotic_zone,7.537
perinecrotic_zone,6.428
perinecrotic_zone,7.365
pseudopalisading_cells_around_necrosis,8.289
pseudopalisading_cells_around_necrosis,6.978
pseudopalisading_cells_around_necrosis,7.384
pseudopalisading_cells_around_necrosis,6.259
pseudopalisading_cells_around_necrosis,6.744
pseudopalisading_cells_around_necrosis,6.497
pseudopalisading_cells_around_necrosis,7.519
pseudopalisading_cells_around_necrosis,8.482
pseudopalisading_cells_around_necrosis,7.507
pseudopalisading_cells_around_necrosis,7.129
pseudopalisading_cells_around_necrosis,6.322
pseudopalisading_cells_around_necrosis,7.47
pseudopalisading_cells_around_necrosis,7.794
pseudopalisading_cells_around_necrosis,7.805
pseudopalisading_cells_around_necrosis,7.912
pseudopalisading_cells_around_necrosis,6.68
pseudopalisading_cells_around_necrosis,6.232
pseudopalisading_cells_around_necrosis,7.268
pseudopalisading_cells_around_necrosis,7.244
pseudopalisading_cells_around_necrosis,7.263
microvascular_proliferation,5.485
microvascular_proliferation,6.803
microvascular_proliferation,6.383
microvascular_proliferation,6.49
microvascular_proliferation,6.275
microvascular_proliferation,7.861
microvascular_proliferation,7.247
microvascular_proliferation,5.344
microvascular_proliferation,6.761
microvascular_proliferation,6.247
microvascular_proliferation,5.509
microvascular_proliferation,5.313
microvascular_proliferation,5.217
microvascular_proliferation,7.039
microvascular_proliferation,6.19
microvascular_proliferation,5.767
microvascular_proliferation,6.451
microvascular_proliferation,6.403
hyperplastic_blood_vessels,5.546
hyperplastic_blood_vessels,5.409
hyperplastic_blood_vessels,5.397
hyperplastic_blood_vessels,4.712
hyperplastic_blood_vessels,6.004
hyperplastic_blood_vessels,5.011
hyperplastic_blood_vessels,7.044
hyperplastic_blood_vessels,5.56
hyperplastic_blood_vessels,4.588
hyperplastic_blood_vessels,4.764
hyperplastic_blood_vessels,6.054
hyperplastic_blood_vessels,4.377
hyperplastic_blood_vessels,5.831
hyperplastic_blood_vessels,4.942
hyperplastic_blood_vessels,4.039
hyperplastic_blood_vessels,5.169
