anatomic_zone,log2_expression
leading_edge,5.961
leading_edge,5.105
leading_edge,3.463
leading_edge,5.481
leading_edge,5.336
leading_edge,4.911
leading_edge,6.661
leading_edge,5.035
leading_edge,4.649
leading_edge,4.531
leading_edge,5.452
leading_edge,5.109
leading_edge,6.345
leading_edge,5.577
leading_edge,6.675
leading_edge,6.215
leading_edge,4.999
leading_edge,3.793
leading_edge,4.744
leading_edge,4.948
leading_edge,6.519
leading_edge,5.224
infiltrating_tumor,5.546
infiltrating_tumor,4.586
infiltrating_tumor,5.956
infiltrating_tumor,6.333
infiltrating_tumor,4.604
infiltrating_tumor,5.276
infiltrating_tumor,5.119
infiltrating_tumor,5.457
infiltrating_tumor,4.953
infiltrating_tumor,6.375
infiltrating_tumor,4.98
infiltrating_tumor,5.003
infiltrating_tumor,5.008
infiltrating_tumor,7.001
infiltrating_tumor,6.376
cellular_tumor,5.04
cellular_tumor,6.295
cellular_tumor,5.262
cellular_tumor,6.038
cellular_tumor,5.926
cellular_tumor,6.821
cellular_tumor,5.44
cellular_tumor,4.421
cellular_tumor,6.444
cellular_tumor,4.742
cellular_tumor,6.045
cellular_tumor,6.793
cellular_tumor,6.408
cellular_tumor,5.794
cellular_tumor,6.28
perinecrotic_zone,6.067
perinecrotic_zone,4.537
perinecrotic_zone,6.418
perinecrotic_zone,5.537
perinecrotic_zone,5.513
perinecrotic_zone,4.207
perinecrotic_zone,4.853
perinecrotic_zone,4.629
perinecrotic_zone,4.955
perinecrotic_zone,5.412
perinecrotic_zone,5.657
perinecrotic_zone,6.224
perinecrotic_zone,6.475
perinecrotic_zone,5.726
perinecrotic_zone,5.425
perinecrotic_zone,6.211
perinecrotic_zone,5.242
perinecrotic_zone,5.098
perinecrotic_zone,5.062
perinecrotic_zone,5.724
perinecrotic_zone,5.78
perinecrotic_zone,5.106
pseudopalisading_cells_around_necrosis,5.964
pseudopalisading_cells_around_necrosis,5.09
pseudopalisading_cells_around_necrosis,4.964
pseudopalisading_cells_around_necrosis,6.568
pseudopalisading_cells_around_necrosis,5.231
pseudopalisading_cells_around_necrosis,6.177
pseudopalisading_cells_around_necrosis,6.093
pseudopalisading_cells_around_necrosis,7.373
pseudopalisading_cells_around_necrosis,6.105
pseudopalisading_cells_around_necrosis,6.937
pseudopalisading_cells_around_necrosis,5.753
pseudopalisading_cells_around_necrosis,5.963
pseudopalisading_cells_around_necrosis,6.189
pseudopalisading_cells_around_necrosis,5.623
pseudopalisading_cells_around_necrosis,5.937
pseudopalisading_cells_around_necrosis,7.069
pseudopalisading_cells_around_necrosis,5.419
microvascular_proliferation,3.456
microvascular_proliferation,6.576
microvascular_proliferation,5.404
microvascular_proliferation,6.344
microvascular_proliferation,5.863
microvascular_proliferation,6.321
microvascular_proliferation,4.521
microvascular_proliferation,5.131
microvascular_proliferation,4.964
microvascular_proliferation,5.276
microvascular_proliferation,5.683
microvascular_proliferation,5.798
microvascular_proliferation,5.454
microvascular_proliferation,5.656
microvascular_proliferation,6.015
microvascular_proliferation,5.973
microvascular_proliferation,6.224
microvascular_proliferation,6.433
microvascular_proliferation,4.84
microvascular_proliferation,5.537
microvascular_proliferation,6.117
hyperplastic_blood_vessels,3.481
hyperplastic_blood_vessels,6.264
hyperplastic_blood_vessels,5.624
hyperplastic_blood_vessels,6.417
hyperplastic_blood_vessels,5.76
hyperplastic_blood_vessels,5.089
hyperplastic_blood_vessels,6.333
hyperplastic_blood_vessels,6.518
hyperplastic_blood_vessels,5.689
hyperplastic_blood_vessels,4.966
hyperplastic_blood_vessels,7.071
hyperplastic_blood_vessels,6.941
hyperplastic_blood_vessels,5.996
hyperplastic_blood_vessels,4.795
hyperplastic_blood_vessels,6.189
hyperplastic_blood_vessels,4.686
hyperplastic_blood_vessels,4.996
hyperplastic_blood_vessels,5.65
hyperplastic_blood_vessels,5.517
hyperplastic_blood_vessels,5.808
hyperplastic_blood_vessels,6.601
hyperplastic_blood_vessels,6.321
hyperplastic_blood_vessels,7.399
