anatomic_zone,log2_expression
leading_edge,5.539
leading_edge,4.322
leading_edge,4.755
leading_edge,4.13
leading_edge,5.387
leading_edge,4.073
leading_edge,3.7
leading_edge,5.915
leading_edge,4.563
leading_edge,4.725
leading_edge,4.158
leading_edge,4.444
leading_edge,5.787
leading_edge,5.312
infiltrating_tumor,4.547
infiltrating_tumor,4.17
infiltrating_tumor,4.82
infiltrating_tumor,4.695
infiltrating_tumor,4.837
infiltrating_tumor,5.124
infiltrating_tumor,5.401
infiltrating_tumor,3.26
infiltrating_tumor,5.899
infiltrating_tumor,3.91
infiltrating_tumor,5.302
infiltrating_tumor,6.388
infiltrating_tumor,3.566
infiltrating_tumor,5.927
infiltrating_tumor,5.172
infiltrating_tumor,5.613
infiltrating_tumor,5.423
infiltrating_tumor,5.672
infiltrating_tumor,5.679
infiltrating_tumor,4.834
infiltrating_tumor,7.059
infiltrating_tumor,4.861
infiltrating_tumor,4.851
cellular_tumor,4.947
cellular_tumor,7.404
cellular_tumor,5.623
cellular_tumor,5.551
cellular_tumor,4.617
cellular_tumor,5.545
cellular_tumor,5.009
cellular_tumor,3.836
cellular_tumor,3.909
cellular_tumor,4.929
cellular_tumor,6.486
cellular_tumor,5.565
cellular_tumor,6.078
cellular_tumor,5.485
cellular_tumor,4.553
cellular_tumor,5.014
cellular_tumor,5.18
cellular_tumor,6.209
cellular_tumor,4.975
perinecrotic_zone,3.911
perinecrotic_zone,4.954
perinecrotic_zone,5.701
perinecrotic_zone,4.063
perinecrotic_zone,5.246
perinecrotic_zone,4.129
perinecrotic_zone,4.679
perinecrotic_zone,5.706
perinecrotic_zone,4.695
perinecrotic_zone,5.781
perinecrotic_zone,3.978
perinecrotic_zone,5.1
perinecrotic_zone,5.608
perinecrotic_zone,4.382
perinecrotic_zone,4.565
perinecrotic_zone,5.006
perinecrotic_zone,3.926
perinecrotic_zone,5.067
perinecrotic_zone,4.465
pseudopalisading_cells_around_necrosis,5.418
pseudopalisading_cells_around_necrosis,3.217
pseudopalisading_cells_around_necrosis,4.131
pseudopalisading_cells_around_necrosis,4.849
pseudopalisading_cells_around_necrosis,5.371
pseudopalisading_cells_around_necrosis,4.873
pseudopalisading_cells_around_necrosis,4.186
pseudopalisading_cells_around_necrosis,4.393
pseudopalisading_cells_around_necrosis,5.027
pseudopalisading_cells_around_necrosis,3.781
pseudopalisading_cells_around_necrosis,3.895
pseudopalisading_cells_around_necrosis,4.186
pseudopalisading_cells_around_necrosis,5.387
pseudopalisading_cells_around_necrosis,5.466
pseudopalisading_cells_around_necrosis,3.526
pseudopalisading_cells_around_necrosis,5.467
pseudopalisading_cells_around_necrosis,3.57
pseudopalisading_cells_around_necrosis,5.93
pseudopalisading_cells_around_necrosis,4.782
pseudopalisading_cells_around_necrosis,3.912
pseudopalisading_cells_around_necrosis,6.7
pseudopalisading_cells_around_necrosis,5.061
microvascular_proliferation,5.86
microvascular_proliferation,6.316
microvascular_proliferation,5.295
microvascular_proliferation,4.433
microvascular_proliferation,5.166
microvascular_proliferation,5.184
microvascular_proliferation,4.832
microvascular_proliferation,4.677
microvascular_proliferation,5.605
microvascular_proliferation,4.157
microvascular_proliferation,6.161
microvascular_proliferation,5.554
microvascular_proliferation,3.969
microvascular_proliferation,5.425
microvascular_proliferation,4.407
microvascular_proliferation,4.879
microvascular_proliferation,3.364
microvascular_proliferation,6.032
microvascular_proliferation,5.032
microvascular_proliferation,4.868
microvascular_proliferation,4.345
microvascular_proliferation,4.899
microvascular_proliferation,5.449
hyperplastic_blood_vessels,5.094
hyperplastic_blood_vessels,5.394
hyperplastic_blood_vessels,6.088
hyperplastic_blood_vessels,4.286
hyperplastic_blood_vessels,4.549
hyperplastic_blood_vessels,3.893
hyperplastic_blood_vessels,4.929
hyperplastic_blood_vessels,5.162
hyperplastic_blood_vessels,5.758
hyperplastic_blood_vessels,4.6
hyperplastic_blood_vessels,6.319
hyperplastic_blood_vessels,5.353
hyperplastic_blood_vessels,5.28
hyperplastic_blood_vessels,3.645
hyperplastic_blood_vessels,6.231
